foot_length,foot_width,arch_height,instep_height,asymmetry,pressure_points,design_type,fit_success
26.993428306022466,11.399355436586003,4.987232587538427,5.0921924421226095,0.9700359750480825,1,1,1
25.72347139765763,10.924633682912768,5.783221993926723,6.139614989220498,0.17080606032544332,4,1,1
27.295377076201383,10.059630369920175,4.811370118500058,6.586394466578356,1.9449227800558044,4,1,0
29.04605971281605,9.353063222294427,5.53805770554144,8.88768765734019,1.0360208627521958,0,1,0
25.531693250553328,10.69822331361359,3.1595779995693216,7.5565531245337585,1.2283724886380227,2,0,0
25.53172608610164,10.39348538542175,6.319940561059408,5.664518430900109,0.47321956541501464,1,0,1
29.158425631014783,10.895193220027732,6.001808213043336,7.486036289417637,0.9669961702136076,3,0,0
27.534869458305817,10.63517180168197,4.7743670533977145,5.452696011061635,0.8582989839166437,2,0,0
25.061051228130097,11.049552715319335,6.988868502648607,8.082691053887073,0.14979168400396747,0,1,1
27.08512008717193,9.464764788439432,7.406355206439837,6.528875348182122,0.21232070709493445,4,2,1
25.073164614375074,11.317394065634325,3.5886602034465387,6.906363811260829,1.6749450392375491,1,2,0
25.068540492859487,10.1975996046924,4.855912832150679,8.325796647542191,0.4796399044131805,2,1,0
26.48392454313207,12.075260872625265,4.846286475319053,5.7128364314157505,0.3899165429972611,3,1,0
22.173439510684403,9.310812181910432,4.590145348336703,5.6028818148870085,1.0098229025002785,0,2,0
22.550164334973935,11.73596380316525,7.244212262897623,6.416400673653995,1.5374942627250259,0,2,0
24.875424941518055,10.197910783462648,5.709260791840794,8.038378851019317,0.12389303715797584,2,1,0
23.974337759331153,9.348581996385551,5.603227738034084,5.480653924523158,1.1536158392765117,3,1,0
26.628494665190548,9.516114165945678,2.99420645338987,4.167844401889431,0.23842088568114672,0,0,1
24.183951848957577,9.67965269180568,6.95312704531384,6.5488411415910015,0.07292210165123691,1,0,1
23.175392597329417,10.424165946401917,4.141112407719791,7.55174079991092,0.10548790432443478,0,2,0
28.931297537843108,10.522835488035499,6.089898945399493,8.200261749738829,1.6683282164168827,3,1,0
25.54844739902693,9.42629999606142,6.416065406937287,6.536838637914601,0.23594496725612313,4,2,1
26.13505640937585,9.975645407739018,8.040987893757976,6.588573392883998,0.0903027288245839,4,0,1
23.150503627573087,12.142270358611864,4.036769401321331,8.153900734255748,0.8757997742858246,2,0,0
24.911234550949636,11.727543170100711,1.470731766268762,5.130258300304579,1.6879869438840496,3,2,0
26.22184517941973,10.436323669674032,6.2757743171305425,6.611479224816991,0.5248167529786039,0,0,1
